external_source_id,external_feature_name,excel_dataset_id,target_name,lag,lag_direction,n_samples,model_type,coefficient,p_value,fdr_q_value,standardized_effect_size,correlation,spearman,AUC,average_precision,RMSE,MAE,pseudo_R2,poisson_rate_ratio,train_period,test_period,status,error_message
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,count,-7D,target_precedes_external,1820,correlation+ols+logistic_probe,0.00734022314675057,0.6666666666666666,0.78125,0.010896694196826373,0.010896694196826373,0.03371432789306966,,,,,,1.008471184808108,2020-01-01..2023-06-27,2023-06-28..2024-12-24,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,count,-3D,target_precedes_external,1824,correlation+ols+logistic_probe,0.0018044963378671909,0.9411764705882353,0.9658595479240727,0.0026712944469969445,0.0026712944469969445,0.05413655353222643,,,,,,1.040406234393881,2020-01-01..2023-06-29,2023-06-30..2024-12-28,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,count,-1D,target_precedes_external,1826,correlation+ols+logistic_probe,0.03147884131890516,0.0392156862745098,0.07352941176470588,0.0465348529227732,0.0465348529227732,0.07789694277279957,,,,,,1.0979529309640426,2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,count,-12H,target_precedes_external,1826,correlation+ols+logistic_probe,0.03147884131890516,0.058823529411764705,0.10652148183216949,0.0465348529227732,0.0465348529227732,0.07789694277279957,,,,,,1.0979529309640426,2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,count,-6H,target_precedes_external,1826,correlation+ols+logistic_probe,0.03147884131890516,0.0784313725490196,0.13706453455168477,0.0465348529227732,0.0465348529227732,0.07789694277279957,,,,,,1.0979529309640426,2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,count,-1H,target_precedes_external,1826,correlation+ols+logistic_probe,0.03147884131890516,0.09803921568627451,0.16523463317911435,0.0465348529227732,0.0465348529227732,0.07789694277279957,,,,,,1.0979529309640426,2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,count,1H,external_precedes_target,1827,correlation+ols+logistic_probe,0.08755714382392339,0.0196078431372549,0.04084967320261438,0.12934523504976045,0.12934523504976045,0.07534061915123744,,,,,,1.1705236139691713,2020-01-01..2023-07-01,2023-07-02..2024-12-31,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,count,6H,external_precedes_target,1827,correlation+ols+logistic_probe,0.08755714382392339,0.0196078431372549,0.04084967320261438,0.12934523504976045,0.12934523504976045,0.07534061915123744,,,,,,1.1705236139691713,2020-01-01..2023-07-01,2023-07-02..2024-12-31,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,count,12H,external_precedes_target,1827,correlation+ols+logistic_probe,0.08755714382392339,0.0196078431372549,0.04084967320261438,0.12934523504976045,0.12934523504976045,0.07534061915123744,,,,,,1.1705236139691713,2020-01-01..2023-07-01,2023-07-02..2024-12-31,ok,
wikimedia,pageviews_余震,気象庁_地震月報_カタログ編,count,1D,external_precedes_target,1826,correlation+ols+logistic_probe,0.1303907530353478,0.0196078431372549,0.04084967320261438,0.19262169596131806,0.19262169596131806,0.06576551340488264,,,,,,1.133012926109812,2020-01-02..2023-07-02,2023-07-03..2024-12-31,ok,
