external_source_id,external_feature_name,base_feature_name,feature_adjustment,excel_dataset_id,target_name,lag,lag_direction,n_samples,model_type,coefficient,p_value,fdr_q_value,standardized_effect_size,correlation,spearman,AUC,average_precision,RMSE,MAE,pseudo_R2,poisson_rate_ratio,negative_control_correlation,negative_control_pass,confounders,train_period,test_period,status,error_message
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,count,-14D,target_precedes_external,1813,calendar_adjusted_correlation+ols+logistic_probe,0.001957436687541979,0.8235294117647058,0.9631922944616442,0.0035698017692878063,0.0035698017692878063,0.0048997688272371985,,,,,,-2.6115537839617993,0.0226841541842778,False,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-01..2023-06-22,2023-06-23..2024-12-17,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,count,-7D,target_precedes_external,1820,calendar_adjusted_correlation+ols+logistic_probe,0.0003114117196469156,0.9607843137254902,0.9939205194891247,0.0005654664527761067,0.0005654664527761067,0.004957439481903473,,,,,,-2.466666665957966,0.019972755084844047,False,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-01..2023-06-27,2023-06-28..2024-12-24,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,count,-3D,target_precedes_external,1824,calendar_adjusted_correlation+ols+logistic_probe,-0.0037728188553452697,0.7254901960784313,0.9388083054932972,-0.0068398198605495305,-0.0068398198605495305,-0.010791051694264704,,,,,,-2.8726114639583615,0.03715778812393131,False,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-01..2023-06-29,2023-06-30..2024-12-28,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,count,-1D,target_precedes_external,1826,calendar_adjusted_correlation+ols+logistic_probe,0.026625385600777377,0.0196078431372549,0.09914077990746861,0.04830484717270847,0.04830484717270847,0.0204119934147081,,,,,,-2.6374502041974193,0.011089563856719867,True,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,count,1D,external_precedes_target,1826,calendar_adjusted_correlation+ols+logistic_probe,0.12888119896417163,0.0196078431372549,0.09914077990746861,0.23371881921856646,0.23371881921856646,0.03250983382517549,,,,,,-2.3877551023679384,0.015494179009027602,True,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-02..2023-07-02,2023-07-03..2024-12-31,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,count,3D,external_precedes_target,1824,calendar_adjusted_correlation+ols+logistic_probe,0.04677978148537805,0.0392156862745098,0.16866961838498842,0.08483560891574243,0.08483560891574243,0.010436118079447072,,,,,,-2.3467889920305502,0.025454785365933773,True,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-04..2023-07-02,2023-07-03..2024-12-31,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,count,7D,external_precedes_target,1820,calendar_adjusted_correlation+ols+logistic_probe,0.02760821041789064,0.058823529411764705,0.23529411764705882,0.050089214447265946,0.050089214447265946,0.02198595023136994,,,,,,-2.4018692340686005,0.04781461828145664,True,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-08..2023-07-04,2023-07-05..2024-12-31,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,count,14D,external_precedes_target,1813,calendar_adjusted_correlation+ols+logistic_probe,0.004154587611174108,0.803921568627451,0.9579998831707459,0.007568370531295738,0.007568370531295738,0.01603700858420014,,,,,,-2.640562230166046,0.04109307180136261,False,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-15..2023-07-06,2023-07-07..2024-12-31,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,m4_flag,-14D,target_precedes_external,1813,calendar_adjusted_correlation+ols+logistic_probe,0.019676644312833003,0.29411764705882354,0.6813536225300931,0.021398511128282106,0.021398511128282106,0.026121387695771315,0.40246474210421773,,,,,-2.611555956230238,0.03136508361768186,False,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-01..2023-06-22,2023-06-23..2024-12-17,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,m4_flag,-7D,target_precedes_external,1820,calendar_adjusted_correlation+ols+logistic_probe,0.012769090421935999,0.5098039215686274,0.855216271037772,0.013973106448871465,0.013973106448871465,-0.011718716837574802,0.38219187233494806,,,,,-2.4666661870344724,-0.0056277310670245296,True,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-01..2023-06-27,2023-06-28..2024-12-24,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,m4_flag,-3D,target_precedes_external,1824,calendar_adjusted_correlation+ols+logistic_probe,0.01044376598857725,0.6274509803921569,0.9148738474733759,0.011219517944768076,0.011219517944768076,-0.036694096620883285,0.3621312515846472,,,,,-2.872611182843524,0.03842942625598713,False,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-01..2023-06-29,2023-06-30..2024-12-28,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,m4_flag,-1D,target_precedes_external,1826,calendar_adjusted_correlation+ols+logistic_probe,0.002002072952737463,0.9607843137254902,0.9939205194891247,0.0021755087664932097,0.0021755087664932097,-0.06725860678202876,0.381147613466266,,,,,-2.637449960020632,0.036406558915568564,False,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,m4_flag,1D,external_precedes_target,1826,calendar_adjusted_correlation+ols+logistic_probe,-0.006300562336679386,0.7058823529411765,0.9356319847526641,-0.007009222915990797,-0.007009222915990797,-0.041084659848653,0.38758171613516396,,,,,-2.3877548312146337,0.039121721113634406,False,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-02..2023-07-02,2023-07-03..2024-12-31,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,m4_flag,3D,external_precedes_target,1824,calendar_adjusted_correlation+ols+logistic_probe,-0.011943780224606081,0.5294117647058824,0.8659165619905391,-0.013331707521828233,-0.013331707521828233,-0.0493372377547013,0.38768449146274797,,,,,-2.346788738508237,0.04203544002955602,False,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-04..2023-07-02,2023-07-03..2024-12-31,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,m4_flag,7D,external_precedes_target,1820,calendar_adjusted_correlation+ols+logistic_probe,-0.004573785580806803,0.8627450980392157,0.9751592944870257,-0.005083993737441568,-0.005083993737441568,-0.04693131659375762,0.40010706845286087,,,,,-2.4018687296158343,0.040502608438361794,False,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-08..2023-07-04,2023-07-05..2024-12-31,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,m4_flag,14D,external_precedes_target,1813,calendar_adjusted_correlation+ols+logistic_probe,-0.006566708965744556,0.7450980392156863,0.9421682266162524,-0.007284565657378494,-0.007284565657378494,-0.041193369838752804,0.4026379853027459,,,,,-2.6405618194808196,0.024563115278573616,False,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-15..2023-07-06,2023-07-07..2024-12-31,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,m5_flag,-14D,target_precedes_external,1813,calendar_adjusted_correlation+ols+logistic_probe,0.008714997035997357,0.7254901960784313,0.9388083054932972,0.007495293145621055,0.007495293145621055,0.02708912252105684,0.4879397957295014,,,,,-2.61155215406825,0.04513167810894799,False,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-01..2023-06-22,2023-06-23..2024-12-17,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,m5_flag,-7D,target_precedes_external,1820,calendar_adjusted_correlation+ols+logistic_probe,0.025993209214018542,0.49019607843137253,0.8439530762089626,0.022472556889857206,0.022472556889857206,0.06616965230030866,0.4777520144002253,,,,,-2.4666652384231504,-0.0014885103798807596,True,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-01..2023-06-27,2023-06-28..2024-12-24,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,m5_flag,-3D,target_precedes_external,1824,calendar_adjusted_correlation+ols+logistic_probe,-0.0010954970868494824,0.9803921568627451,0.9939205194891247,-0.0011695944655711965,-0.0011695944655711965,0.07411824436691937,0.4783654080017345,,,,,-2.872626333541696,0.014833482687727531,False,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-01..2023-06-29,2023-06-30..2024-12-28,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,m5_flag,-1D,target_precedes_external,1826,calendar_adjusted_correlation+ols+logistic_probe,0.012688092777777386,0.7647058823529411,0.9515869949777351,0.010929540283355148,0.010929540283355148,0.025731105442449637,0.4774051476883413,,,,,-2.6374497038896285,0.024276046701158488,False,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-01..2023-07-01,2023-07-02..2024-12-30,ok,
wikimedia,pageviews_余震__raw_count,pageviews_余震,raw_count,気象庁_地震月報_カタログ編,m5_flag,1D,external_precedes_target,1826,calendar_adjusted_correlation+ols+logistic_probe,0.051069944002795624,0.09803921568627451,0.3446691176470588,0.04401159164630982,0.04401159164630982,0.05416984762045686,0.4697206638794571,,,,,-2.3877538413533497,0.04916639989296731,False,"month,day_of_week,weekend_or_holiday,year_trend",2020-01-02..2023-07-02,2023-07-03..2024-12-31,ok,
