date,kp_dst_feature_name,base_feature_name,feature_adjustment,value
2020-01-01,kp_mean_daily,kp_mean_daily,raw,0.583375
2020-01-02,kp_mean_daily,kp_mean_daily,raw,0.45825
2020-01-03,kp_mean_daily,kp_mean_daily,raw,1.208375
2020-01-04,kp_mean_daily,kp_mean_daily,raw,1.3751250000000002
2020-01-05,kp_mean_daily,kp_mean_daily,raw,1.958375
2020-01-06,kp_mean_daily,kp_mean_daily,raw,1.75
2020-01-07,kp_mean_daily,kp_mean_daily,raw,1.125
2020-01-08,kp_mean_daily,kp_mean_daily,raw,1.375
2020-01-09,kp_mean_daily,kp_mean_daily,raw,2.458375
2020-01-10,kp_mean_daily,kp_mean_daily,raw,1.458375
2020-01-11,kp_mean_daily,kp_mean_daily,raw,1.2915
2020-01-12,kp_mean_daily,kp_mean_daily,raw,0.541625
2020-01-13,kp_mean_daily,kp_mean_daily,raw,0.416625
2020-01-14,kp_mean_daily,kp_mean_daily,raw,0.29150000000000004
2020-01-15,kp_mean_daily,kp_mean_daily,raw,0.7917500000000001
2020-01-16,kp_mean_daily,kp_mean_daily,raw,1.0
2020-01-17,kp_mean_daily,kp_mean_daily,raw,0.5415
2020-01-18,kp_mean_daily,kp_mean_daily,raw,0.583375
2020-01-19,kp_mean_daily,kp_mean_daily,raw,0.125
2020-01-20,kp_mean_daily,kp_mean_daily,raw,0.08325
2020-01-21,kp_mean_daily,kp_mean_daily,raw,1.291625
2020-01-22,kp_mean_daily,kp_mean_daily,raw,1.45825
2020-01-23,kp_mean_daily,kp_mean_daily,raw,0.8748750000000001
2020-01-24,kp_mean_daily,kp_mean_daily,raw,0.2915
2020-01-25,kp_mean_daily,kp_mean_daily,raw,0.499875
2020-01-26,kp_mean_daily,kp_mean_daily,raw,0.6667500000000001
2020-01-27,kp_mean_daily,kp_mean_daily,raw,0.33325
2020-01-28,kp_mean_daily,kp_mean_daily,raw,0.95825
2020-01-29,kp_mean_daily,kp_mean_daily,raw,1.875
2020-01-30,kp_mean_daily,kp_mean_daily,raw,2.5416250000000002
2020-01-31,kp_mean_daily,kp_mean_daily,raw,1.583375
2020-02-01,kp_mean_daily,kp_mean_daily,raw,1.375
2020-02-02,kp_mean_daily,kp_mean_daily,raw,1.374875
2020-02-03,kp_mean_daily,kp_mean_daily,raw,0.87475
2020-02-04,kp_mean_daily,kp_mean_daily,raw,1.41675
2020-02-05,kp_mean_daily,kp_mean_daily,raw,1.125
2020-02-06,kp_mean_daily,kp_mean_daily,raw,2.7916250000000002
2020-02-07,kp_mean_daily,kp_mean_daily,raw,2.75
2020-02-08,kp_mean_daily,kp_mean_daily,raw,1.458375
2020-02-09,kp_mean_daily,kp_mean_daily,raw,1.541875
2020-02-10,kp_mean_daily,kp_mean_daily,raw,1.16675
2020-02-11,kp_mean_daily,kp_mean_daily,raw,1.208375
2020-02-12,kp_mean_daily,kp_mean_daily,raw,1.125
2020-02-13,kp_mean_daily,kp_mean_daily,raw,0.4165
2020-02-14,kp_mean_daily,kp_mean_daily,raw,0.45837500000000003
2020-02-15,kp_mean_daily,kp_mean_daily,raw,1.000125
2020-02-16,kp_mean_daily,kp_mean_daily,raw,0.541625
2020-02-17,kp_mean_daily,kp_mean_daily,raw,1.499875
2020-02-18,kp_mean_daily,kp_mean_daily,raw,2.583375
2020-02-19,kp_mean_daily,kp_mean_daily,raw,2.3748750000000003
2020-02-20,kp_mean_daily,kp_mean_daily,raw,1.833375
2020-02-21,kp_mean_daily,kp_mean_daily,raw,2.66675
2020-02-22,kp_mean_daily,kp_mean_daily,raw,1.9585
2020-02-23,kp_mean_daily,kp_mean_daily,raw,1.0415
2020-02-24,kp_mean_daily,kp_mean_daily,raw,0.875
2020-02-25,kp_mean_daily,kp_mean_daily,raw,0.4165
2020-02-26,kp_mean_daily,kp_mean_daily,raw,0.70825
2020-02-27,kp_mean_daily,kp_mean_daily,raw,0.625
2020-02-28,kp_mean_daily,kp_mean_daily,raw,1.458375
2020-02-29,kp_mean_daily,kp_mean_daily,raw,2.208375
2020-03-01,kp_mean_daily,kp_mean_daily,raw,1.375
2020-03-02,kp_mean_daily,kp_mean_daily,raw,1.0
2020-03-03,kp_mean_daily,kp_mean_daily,raw,1.41675
2020-03-04,kp_mean_daily,kp_mean_daily,raw,1.416625
2020-03-05,kp_mean_daily,kp_mean_daily,raw,0.791875
2020-03-06,kp_mean_daily,kp_mean_daily,raw,0.9167500000000001
2020-03-07,kp_mean_daily,kp_mean_daily,raw,0.874875
2020-03-08,kp_mean_daily,kp_mean_daily,raw,1.29175
2020-03-09,kp_mean_daily,kp_mean_daily,raw,1.250125
2020-03-10,kp_mean_daily,kp_mean_daily,raw,0.833375
2020-03-11,kp_mean_daily,kp_mean_daily,raw,0.541625
2020-03-12,kp_mean_daily,kp_mean_daily,raw,1.41675
2020-03-13,kp_mean_daily,kp_mean_daily,raw,1.708375
2020-03-14,kp_mean_daily,kp_mean_daily,raw,0.45837500000000003
2020-03-15,kp_mean_daily,kp_mean_daily,raw,1.0
2020-03-16,kp_mean_daily,kp_mean_daily,raw,1.083375
2020-03-17,kp_mean_daily,kp_mean_daily,raw,1.375
2020-03-18,kp_mean_daily,kp_mean_daily,raw,1.333375
2020-03-19,kp_mean_daily,kp_mean_daily,raw,2.1666250000000002
2020-03-20,kp_mean_daily,kp_mean_daily,raw,1.583375
2020-03-21,kp_mean_daily,kp_mean_daily,raw,1.916625
2020-03-22,kp_mean_daily,kp_mean_daily,raw,1.666625
2020-03-23,kp_mean_daily,kp_mean_daily,raw,2.458125
2020-03-24,kp_mean_daily,kp_mean_daily,raw,0.749875
2020-03-25,kp_mean_daily,kp_mean_daily,raw,0.708375
2020-03-26,kp_mean_daily,kp_mean_daily,raw,1.08325
2020-03-27,kp_mean_daily,kp_mean_daily,raw,1.333375
2020-03-28,kp_mean_daily,kp_mean_daily,raw,1.166625
2020-03-29,kp_mean_daily,kp_mean_daily,raw,1.625
2020-03-30,kp_mean_daily,kp_mean_daily,raw,2.24975
2020-03-31,kp_mean_daily,kp_mean_daily,raw,2.791625
2020-04-01,kp_mean_daily,kp_mean_daily,raw,1.33325
2020-04-02,kp_mean_daily,kp_mean_daily,raw,1.583375
2020-04-03,kp_mean_daily,kp_mean_daily,raw,1.75
2020-04-04,kp_mean_daily,kp_mean_daily,raw,1.0
2020-04-05,kp_mean_daily,kp_mean_daily,raw,1.0
2020-04-06,kp_mean_daily,kp_mean_daily,raw,0.45825
2020-04-07,kp_mean_daily,kp_mean_daily,raw,0.58325
2020-04-08,kp_mean_daily,kp_mean_daily,raw,2.625125
2020-04-09,kp_mean_daily,kp_mean_daily,raw,1.000125
2020-04-10,kp_mean_daily,kp_mean_daily,raw,0.95825
2020-04-11,kp_mean_daily,kp_mean_daily,raw,1.625
2020-04-12,kp_mean_daily,kp_mean_daily,raw,1.583375
2020-04-13,kp_mean_daily,kp_mean_daily,raw,1.166625
2020-04-14,kp_mean_daily,kp_mean_daily,raw,1.624875
2020-04-15,kp_mean_daily,kp_mean_daily,raw,1.54175
2020-04-16,kp_mean_daily,kp_mean_daily,raw,0.874875
2020-04-17,kp_mean_daily,kp_mean_daily,raw,0.7915
2020-04-18,kp_mean_daily,kp_mean_daily,raw,0.83325
2020-04-19,kp_mean_daily,kp_mean_daily,raw,0.20825000000000002
2020-04-20,kp_mean_daily,kp_mean_daily,raw,2.6248750000000003
2020-04-21,kp_mean_daily,kp_mean_daily,raw,2.0
2020-04-22,kp_mean_daily,kp_mean_daily,raw,1.666625
2020-04-23,kp_mean_daily,kp_mean_daily,raw,0.70825
2020-04-24,kp_mean_daily,kp_mean_daily,raw,1.583375
2020-04-25,kp_mean_daily,kp_mean_daily,raw,1.0
2020-04-26,kp_mean_daily,kp_mean_daily,raw,1.541875
