excel_dataset_id,category,provider,name,description,url,data_type,data_items,public_status,format,access_notes,inferred_temporal_type,inferred_geo_type,usable_status,sheet_name,source_row
海洋研究開発機構,,,海洋研究開発機構,,,,,,,,unknown,unknown,skip,地震関連データリスト,4
防災科学技術研究所,,,防災科学技術研究所,,,,,,,,unknown,unknown,skip,地震関連データリスト,5
気象庁,,,気象庁,,,,,,,,unknown,unknown,skip,地震関連データリスト,6
地震_火山月報_防災編,,,地震・火山月報（防災編）,,,,,,,,unknown,unknown,skip,地震関連データリスト,7
文献_歴史資料に関する情報,,,文献・歴史資料に関する情報,,,,,,,,static_metadata,unknown,skip,地震関連データリスト,8
共著関連データベース,,,共著関連データベース,,,,,,,,unknown,unknown,skip,地震関連データリスト,9
地震の基礎知識とその観測,,,地震の基礎知識とその観測,,,,,,,,static_metadata,unknown,skip,地震関連データリスト,10
名古屋大学,,,名古屋大学,,,,,,,,unknown,unknown,skip,地震関連データリスト,11
地震調査研究推進本部,,,地震調査研究推進本部,,,,,,,,unknown,unknown,skip,地震関連データリスト,12
産業技術総合研究所,,,産業技術総合研究所,,,,,,,,unknown,unknown,skip,地震関連データリスト,13
東北大学,,,東北大学,,,,,,,,unknown,unknown,skip,地震関連データリスト,14
国土地理院,,,国土地理院,,,,,,,,unknown,unknown,skip,地震関連データリスト,15
地震調査研究推進本部,,,地震調査研究推進本部,,,,,,,,unknown,unknown,skip,地震関連データリスト,16
防災科学技術研究所,,,防災科学技術研究所,,,,,,,,unknown,unknown,skip,地震関連データリスト,18
気象庁_最近の地震活動_速報値,震源関連 【最新の地震活動】,気象庁,最近の地震活動（速報値）,気象庁の自動処理震源で、前日から本日（約30分前まで）の、地震活動状況を掲載しています。10分毎に更新されます。,https://www.data.jma.go.jp/svd/eew/data/hypo/,,,,,,event_catalog,point,usable,データ詳細,3
