date,external_source_group,external_feature_name,base_feature_name,feature_adjustment,value,missing_ratio,valid_count
2020-01-01,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.583375,0.0,1
2020-01-02,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.45825,0.0,1
2020-01-03,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.208375,0.0,1
2020-01-04,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.3751250000000002,0.0,1
2020-01-05,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.958375,0.0,1
2020-01-06,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.75,0.0,1
2020-01-07,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.125,0.0,1
2020-01-08,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.375,0.0,1
2020-01-09,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.458375,0.0,1
2020-01-10,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.458375,0.0,1
2020-01-11,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.2915,0.0,1
2020-01-12,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.541625,0.0,1
2020-01-13,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.416625,0.0,1
2020-01-14,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.29150000000000004,0.0,1
2020-01-15,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.7917500000000001,0.0,1
2020-01-16,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.0,0.0,1
2020-01-17,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.5415,0.0,1
2020-01-18,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.583375,0.0,1
2020-01-19,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.125,0.0,1
2020-01-20,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.08325,0.0,1
2020-01-21,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.291625,0.0,1
2020-01-22,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.45825,0.0,1
2020-01-23,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.8748750000000001,0.0,1
2020-01-24,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.2915,0.0,1
2020-01-25,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.499875,0.0,1
2020-01-26,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.6667500000000001,0.0,1
2020-01-27,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.33325,0.0,1
2020-01-28,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.95825,0.0,1
2020-01-29,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.875,0.0,1
2020-01-30,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.5416250000000002,0.0,1
2020-01-31,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.583375,0.0,1
2020-02-01,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.375,0.0,1
2020-02-02,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.374875,0.0,1
2020-02-03,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.87475,0.0,1
2020-02-04,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.41675,0.0,1
2020-02-05,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.125,0.0,1
2020-02-06,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.7916250000000002,0.0,1
2020-02-07,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.75,0.0,1
2020-02-08,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.458375,0.0,1
2020-02-09,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.541875,0.0,1
2020-02-10,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.16675,0.0,1
2020-02-11,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.208375,0.0,1
2020-02-12,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.125,0.0,1
2020-02-13,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.4165,0.0,1
2020-02-14,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.45837500000000003,0.0,1
2020-02-15,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.000125,0.0,1
2020-02-16,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.541625,0.0,1
2020-02-17,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.499875,0.0,1
2020-02-18,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.583375,0.0,1
2020-02-19,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.3748750000000003,0.0,1
2020-02-20,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.833375,0.0,1
2020-02-21,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.66675,0.0,1
2020-02-22,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.9585,0.0,1
2020-02-23,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.0415,0.0,1
2020-02-24,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.875,0.0,1
2020-02-25,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.4165,0.0,1
2020-02-26,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.70825,0.0,1
2020-02-27,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.625,0.0,1
2020-02-28,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.458375,0.0,1
2020-02-29,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.208375,0.0,1
2020-03-01,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.375,0.0,1
2020-03-02,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.0,0.0,1
2020-03-03,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.41675,0.0,1
2020-03-04,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.416625,0.0,1
2020-03-05,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.791875,0.0,1
2020-03-06,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.9167500000000001,0.0,1
2020-03-07,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.874875,0.0,1
2020-03-08,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.29175,0.0,1
2020-03-09,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.250125,0.0,1
2020-03-10,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.833375,0.0,1
2020-03-11,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.541625,0.0,1
2020-03-12,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.41675,0.0,1
2020-03-13,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.708375,0.0,1
2020-03-14,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.45837500000000003,0.0,1
2020-03-15,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.0,0.0,1
2020-03-16,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.083375,0.0,1
2020-03-17,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.375,0.0,1
2020-03-18,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.333375,0.0,1
2020-03-19,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.1666250000000002,0.0,1
2020-03-20,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.583375,0.0,1
2020-03-21,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.916625,0.0,1
2020-03-22,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.666625,0.0,1
2020-03-23,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.458125,0.0,1
2020-03-24,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.749875,0.0,1
2020-03-25,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.708375,0.0,1
2020-03-26,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.08325,0.0,1
2020-03-27,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.333375,0.0,1
2020-03-28,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.166625,0.0,1
2020-03-29,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.625,0.0,1
2020-03-30,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.24975,0.0,1
2020-03-31,kp_dst,kp_mean_daily,kp_mean_daily,raw,2.791625,0.0,1
2020-04-01,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.33325,0.0,1
2020-04-02,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.583375,0.0,1
2020-04-03,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.75,0.0,1
2020-04-04,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.0,0.0,1
2020-04-05,kp_dst,kp_mean_daily,kp_mean_daily,raw,1.0,0.0,1
2020-04-06,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.45825,0.0,1
2020-04-07,kp_dst,kp_mean_daily,kp_mean_daily,raw,0.58325,0.0,1
